,Id,Age,Job,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,Outcome,CallStart,CallEnd,CarInsurance,CallDuration,CallHourStart,CallMinStart
1258,1259,40,blue-collar,divorced,secondary,0,-426,0,1,,26,may,1,-1,0,,2021-12-04 15:54:38,2021-12-04 15:58:43,0,245.00000000000003,15,54
3064,3065,36,technician,married,tertiary,0,911,1,1,cellular,25,may,2,21,3,failure,2021-12-04 11:01:07,2021-12-04 11:03:04,1,117.00000000000001,11,1
665,666,49,blue-collar,married,secondary,0,-327,1,0,cellular,7,may,1,-1,0,,2021-12-04 16:10:56,2021-12-04 16:17:59,0,423.0,16,10
752,753,38,services,single,secondary,0,895,1,0,cellular,12,may,1,-1,0,,2021-12-04 11:36:06,2021-12-04 12:01:37,1,1531.0,11,36
3083,3084,54,technician,married,secondary,0,0,0,0,cellular,6,nov,5,192,8,other,2021-12-04 11:24:43,2021-12-04 11:32:27,1,464.00000000000006,11,24
934,935,44,services,married,secondary,0,1326,0,0,cellular,30,jul,1,-1,0,,2021-12-04 11:01:57,2021-12-04 11:03:33,0,96.0,11,1
895,896,37,management,married,tertiary,0,630,0,0,cellular,30,apr,1,87,1,success,2021-12-04 15:47:25,2021-12-04 15:52:40,1,315.0,15,47
2073,2074,51,management,divorced,tertiary,0,0,0,0,cellular,13,aug,2,-1,0,,2021-12-04 14:19:07,2021-12-04 14:20:07,0,60.00000000000001,14,19
2839,2840,48,self-employed,single,,0,0,0,0,,18,jun,1,-1,0,,2021-12-04 09:42:36,2021-12-04 09:50:09,0,453.0,9,42
3252,3253,34,management,single,tertiary,0,682,0,0,cellular,27,aug,3,-1,0,,2021-12-04 09:21:29,2021-12-04 09:29:21,0,472.00000000000006,9,21
1207,1208,48,management,married,secondary,0,36686,0,0,cellular,30,apr,1,-1,0,,2021-12-04 13:16:18,2021-12-04 13:21:13,0,295.0,13,16
1163,1164,32,blue-collar,married,secondary,0,897,1,0,cellular,7,apr,3,322,2,failure,2021-12-04 17:34:14,2021-12-04 17:39:07,0,293.0,17,34
1910,1911,35,technician,single,secondary,0,225,1,0,cellular,18,may,5,-1,0,,2021-12-04 14:45:42,2021-12-04 14:45:49,0,7.0,14,45
3344,3345,38,technician,married,secondary,0,2767,1,0,cellular,21,nov,2,-1,0,,2021-12-04 10:19:34,2021-12-04 10:31:25,0,711.0,10,19
3435,3436,35,management,married,tertiary,0,925,0,0,cellular,8,jun,4,-1,0,,2021-12-04 10:26:13,2021-12-04 10:29:33,1,200.0,10,26
43,44,40,admin.,married,secondary,0,2574,1,0,cellular,15,may,1,176,1,failure,2021-12-04 10:50:44,2021-12-04 10:57:56,1,432.0,10,50
1841,1842,32,blue-collar,married,secondary,0,1520,1,0,cellular,19,nov,1,-1,0,,2021-12-04 09:06:58,2021-12-04 09:15:11,0,493.00000000000006,9,6
318,319,59,management,divorced,tertiary,0,17056,1,0,cellular,20,nov,2,-1,0,,2021-12-04 13:58:19,2021-12-04 14:06:09,0,470.00000000000006,13,58
960,961,57,technician,divorced,secondary,0,77,1,1,cellular,29,jan,3,246,2,failure,2021-12-04 12:14:41,2021-12-04 12:17:29,0,168.0,12,14
1430,1431,49,services,married,,0,1990,1,0,cellular,19,nov,4,-1,0,,2021-12-04 14:19:02,2021-12-04 14:19:46,0,44.0,14,19
3696,3697,50,management,married,tertiary,0,5124,1,0,cellular,18,aug,2,-1,0,,2021-12-04 14:57:33,2021-12-04 14:59:24,0,111.0,14,57
3062,3063,49,technician,married,secondary,0,0,1,1,cellular,21,jul,1,-1,0,,2021-12-04 10:44:43,2021-12-04 10:46:18,0,95.0,10,44
2683,2684,26,blue-collar,single,primary,0,3342,1,0,,4,jun,4,-1,0,,2021-12-04 17:48:38,2021-12-04 17:54:07,0,329.0,17,48
1310,1311,36,self-employed,single,tertiary,0,-103,1,1,telephone,17,oct,1,-1,0,,2021-12-04 17:31:18,2021-12-04 18:25:31,1,3253.0,17,31
928,929,34,admin.,married,secondary,0,592,1,0,,8,jun,1,-1,0,,2021-12-04 15:03:43,2021-12-04 15:04:32,0,49.0,15,3
906,907,30,services,single,secondary,0,-172,1,1,cellular,17,apr,4,329,2,other,2021-12-04 14:16:54,2021-12-04 14:21:36,0,282.0,14,16
920,921,32,technician,single,tertiary,0,654,1,0,cellular,25,may,4,-1,0,,2021-12-04 16:29:54,2021-12-04 16:40:09,1,615.0,16,29
1506,1507,49,housemaid,married,primary,0,640,0,0,telephone,13,aug,4,-1,0,,2021-12-04 17:37:04,2021-12-04 17:40:38,0,214.0,17,37
3104,3105,29,technician,married,tertiary,0,-246,1,0,,6,jun,3,-1,0,,2021-12-04 17:29:22,2021-12-04 17:34:33,0,311.0,17,29
322,323,31,self-employed,married,tertiary,0,94,0,0,cellular,22,aug,2,-1,0,,2021-12-04 10:11:55,2021-12-04 10:21:34,1,579.0,10,11
1545,1546,57,retired,married,primary,0,3288,0,0,cellular,19,aug,4,-1,0,,2021-12-04 09:07:43,2021-12-04 09:10:49,0,186.0,9,7
2194,2195,42,technician,married,secondary,0,440,1,0,cellular,3,feb,5,-1,0,,2021-12-04 15:53:25,2021-12-04 15:53:38,0,13.0,15,53
450,451,46,technician,married,secondary,0,2149,1,0,cellular,15,apr,2,-1,0,,2021-12-04 12:12:51,2021-12-04 12:17:33,1,282.0,12,12
2429,2430,24,student,single,primary,0,1235,0,0,cellular,14,jul,4,93,6,other,2021-12-04 10:58:05,2021-12-04 11:03:39,1,334.0,10,58
1276,1277,42,management,married,tertiary,0,294,0,0,cellular,26,aug,1,-1,0,,2021-12-04 11:18:45,2021-12-04 11:27:18,1,513.0,11,18
866,867,42,blue-collar,divorced,secondary,0,685,1,0,,30,may,4,-1,0,,2021-12-04 10:03:04,2021-12-04 10:06:28,0,204.0,10,3
2515,2516,28,admin.,single,,0,24,1,0,cellular,18,jul,2,-1,0,,2021-12-04 14:17:49,2021-12-04 14:24:44,1,415.0,14,17
2540,2541,29,admin.,married,secondary,0,943,1,0,,4,jun,1,-1,0,,2021-12-04 11:37:53,2021-12-04 11:43:48,0,355.0,11,37
3653,3654,60,retired,married,,0,209,0,0,cellular,30,apr,1,-1,0,,2021-12-04 12:26:50,2021-12-04 12:34:42,0,472.00000000000006,12,26
2602,2603,30,technician,single,tertiary,0,0,0,0,cellular,22,aug,2,-1,0,,2021-12-04 10:19:41,2021-12-04 10:21:42,0,121.00000000000001,10,19
592,593,40,admin.,married,secondary,0,5,0,0,cellular,2,feb,1,-1,0,,2021-12-04 15:01:39,2021-12-04 15:04:33,0,174.0,15,1
3527,3528,58,services,divorced,secondary,0,462,0,0,cellular,12,aug,1,-1,0,,2021-12-04 10:58:42,2021-12-04 11:04:14,1,332.0,10,58
3444,3445,31,admin.,married,secondary,0,307,1,0,,9,may,1,-1,0,,2021-12-04 10:07:58,2021-12-04 10:16:56,1,538.0,10,7
1926,1927,33,technician,single,tertiary,0,149,1,0,cellular,19,nov,2,182,1,other,2021-12-04 17:05:58,2021-12-04 17:13:02,1,424.0,17,5
3373,3374,34,management,divorced,tertiary,0,0,0,0,cellular,21,aug,2,-1,0,,2021-12-04 14:18:46,2021-12-04 14:20:49,0,123.00000000000001,14,18
2879,2880,38,management,married,tertiary,1,327,1,1,cellular,9,jul,5,-1,0,,2021-12-04 10:55:53,2021-12-04 11:05:09,1,556.0,10,55
